ano_emissao;mes_emissao;UF;MUNICIPIO;TIPO;STATUS;ABRANGENCIA;ESPECIE_ARMA;MARCA_ARMA;CALIBRE_ARMA;SEXO;TOTAL
2025;01;AC;BRASIL�IA                          ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;1
2025;01;AC;RIO BRANCO                         ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;AC;RIO BRANCO                         ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;AC;SENA MADUREIRA                     ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;AL;MACEI�                             ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;2
2025;01;AL;MACEI�                             ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;AL;MACEI�                             ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;4
2025;01;AL;RIO LARGO                          ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;AM;MANAUS                             ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;CZ (CESKOSLOVENSKA ZBROJOVKA)                                         ;.380 ACP                                          ;M;1
2025;01;AM;MANAUS                             ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;BA;BARREIRAS                          ;Defesa Pessoal         ;Cancelado     ;Estadual  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;1
2025;01;BA;BARREIRAS                          ;Defesa Pessoal         ;Vencido       ;Estadual  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;1
2025;01;BA;LAURO DE FREITAS                   ;Defesa Pessoal         ;Ativo - V�lido;Nacional  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;1
2025;01;BA;LAURO DE FREITAS                   ;Funcional              ;Ativo - V�lido;Nacional  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;BA;SALVADOR                           ;Defesa Pessoal         ;Ativo - V�lido;Nacional  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;BA;SALVADOR                           ;Defesa Pessoal         ;Ativo - V�lido;Nacional  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;BA;SEABRA                             ;Defesa Pessoal         ;Ativo - V�lido;Nacional  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;F;1
2025;01;CE;FORTALEZA                          ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;1
2025;01;CE;FORTALEZA                          ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;IMBEL                                                                 ;380AUTO                                           ;M;1
2025;01;CE;FORTALEZA                          ;Defesa Pessoal         ;Ativo - V�lido;Regional  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;1
2025;01;CE;FORTALEZA                          ;Funcional              ;Ativo - V�lido;Nacional  ;                                                  ;                                                                      ;                                                  ;M;2
2025;01;DF;BRAS�LIA                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;2
2025;01;DF;BRAS�LIA                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;DF;BRAS�LIA                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;M;1
2025;01;DF;BRAS�LIA                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;F;1
2025;01;DF;BRAS�LIA                           ;Defesa Pessoal         ;Ativo - V�lido;Nacional  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;1
2025;01;DF;BRAS�LIA                           ;Defesa Pessoal         ;Ativo - V�lido;Nacional  ;Pistola                                           ;IMBEL                                                                 ;.380                                              ;M;1
2025;01;DF;BRAS�LIA                           ;Defesa Pessoal         ;Ativo - V�lido;Nacional  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;1
2025;01;DF;BRAS�LIA                           ;Defesa Pessoal         ;Cancelado     ;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;2
2025;01;DF;BRAS�LIA                           ;Seguran�a Dignit�rio   ;Ativo - V�lido;Nacional  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;Outros Calibres                                   ;M;1
2025;01;ES;ANCHIETA                           ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;ES;CARIACICA                          ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;ES;COLATINA                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;IMBEL                                                                 ;.380                                              ;M;1
2025;01;ES;COLATINA                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;ES;GUARAPARI                          ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;1
2025;01;ES;LINHARES                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;ES;LINHARES                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;2
2025;01;ES;NOVA VEN�CIA                       ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.22 LR                                            ;M;1
2025;01;ES;SERRA                              ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;1
2025;01;ES;SERRA                              ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;ES;SERRA                              ;Defesa Pessoal         ;Vencido       ;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;ES;SERRA                              ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;2
2025;01;ES;SERRA                              ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;ES;VIANA                              ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;ES;VILA VELHA                         ;Funcional              ;Ativo - V�lido;Nacional  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;ES;VIT�RIA                            ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;ES;VIT�RIA                            ;Defesa Pessoal         ;Ativo - V�lido;Nacional  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;ES;VIT�RIA                            ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;2
2025;01;ES;VIT�RIA                            ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;3
2025;01;GO;ALEX�NIA                           ;Defesa Pessoal         ;Cancelado     ;Regional  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;1
2025;01;GO;ANICUNS                            ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;9 mm                                              ;M;1
2025;01;GO;AN�POLIS                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;1
2025;01;GO;AN�POLIS                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;GO;AN�POLIS                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;4
2025;01;GO;AN�POLIS                           ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38 SPL                                           ;M;1
2025;01;GO;AN�POLIS                           ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;GO;APARECIDA DE GOI�NIA               ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;M;1
2025;01;GO;APARECIDA DE GOI�NIA               ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;4
2025;01;GO;BONFIN�POLIS                       ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;1
2025;01;GO;CALDAS NOVAS                       ;Defesa Pessoal         ;Ativo - V�lido;Nacional  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380                                              ;M;1
2025;01;GO;CERES                              ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;1
2025;01;GO;CIDADE OCIDENTAL                   ;Seguran�a Dignit�rio   ;Ativo - V�lido;Nacional  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;9x19mm                                            ;M;1
2025;01;GO;COCALZINHO DE GOI�S                ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;1
2025;01;GO;GOI�NIA                            ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;GLOCK GMBH (�USTRIA)                                                  ;.380                                              ;M;1
2025;01;GO;GOI�NIA                            ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;1
2025;01;GO;GOI�NIA                            ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;M;2
2025;01;GO;GOI�NIA                            ;Defesa Pessoal         ;Ativo - V�lido;Estadual  ;Revolver                                          ;TAURUS ARMAS S.A.                                                     ;.38                                               ;M;1
2025;01;GO;GOI�NIA                            ;Defesa Pessoal         ;Ativo - V�lido;Nacional  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.380 ACP                                          ;F;1
2025;01;GO;GOI�NIA                            ;Defesa Pessoal         ;Ativo - V�lido;Regional  ;Pistola                                           ;TAURUS ARMAS S.A.                                                     ;.38 TPC                                           ;M;1
2025;01;GO;GOI�NIA                            ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;F;2
2025;01;GO;GOI�NIA                            ;Funcional              ;Ativo - V�lido;Estadual  ;                                                  ;                                                                      ;                                                  ;M;4
