especie,marca,calibre
Pistola,TAURUS ARMAS S.A.,.38 TPC
Pistola,TAURUS ARMAS S.A.,.380
Pistola,TAURUS ARMAS S.A.,.380 ACP
Pistola,GLOCK GMBH (�USTRIA),.380
Pistola,CZ (CESKOSLOVENSKA ZBROJOVKA),.380 ACP
Pistola,IMBEL,380AUTO
Revolver,TAURUS ARMAS S.A.,.38
Revolver,TAURUS ARMAS S.A.,.38 SPL
Pistola,IMBEL,.380
Pistola,GLOCK GMBH (�USTRIA),Outros Calibres
Pistola,GLOCK GMBH (�USTRIA),.22 LR
Pistola,TAURUS ARMAS S.A.,9 mm
Pistola,GLOCK GMBH (�USTRIA),9x19mm
Pistola,ALFA-PROJ (SPOL S.R.O.),.380 ACP
Revolver,ROSSI (AMADEO ROSSI S.A.),.38
Pistola,GLOCK GMBH (�USTRIA),9 mm
Pistola,CZ (CESKOSLOVENSKA ZBROJOVKA),.380
Pistola,TAURUS ARMAS S.A.,"7,65mm"
Pistola,BERSA,.380 ACP
Pistola,TAURUS ARMAS S.A.,"6,35mm"
Pistola,GRAND POWER,.380
Pistola,GLOCK GMBH (�USTRIA),.380 ACP
Pistola,BERSA,.380
Pistola,BROWNING ARMS COMPANY,.380
Pistola,"HK (HECKLER & KOCH, H&K)",9 mm
Pistola,"HK P2000 (HECKLER & KOCH, H&K)",9 mm
Submetralhadora,HK MP-5,9 mm
Pistola,ALFA-PROJ (SPOL S.R.O.),"6,35mm"
Pistola,TAURUS ARMAS S.A.,.40 S&W
Pistola,WALTHER (CARL WALTHER GMBH SPORTWAFFEN),.380
Revolver,ROSSI (AMADEO ROSSI S.A.),.22 LR
Pistola,BERETTA (PIETRO BERETTA S.P.A.),9 mm
Pistola,BERETTA (PIETRO BERETTA S.P.A.),9x19mm
Pistola,GLOCK GMBH (�USTRIA),9x56mm
Pistola,SARSILMAZ,9 mm
Pistola,SIG SAUER (SIG SAUER GMBH),9 mm
Pistola,SIG SAUER (SIGARMS USA),9 mm
Revolver,ROSSI (AMADEO ROSSI S.A.),.38 SPL
Revolver,TAURUS ARMAS S.A.,36
Pistola,CARACAL INTERNATIONAL,9 mm
Pistola,JERICHO,9x19mm
Pistola,NORINCO NZ,9 mm
Pistola,SIG SAUER (SIG SAUER GMBH),9x19mm
Pistola,WALTHER ARMS,9 mm
Submetralhadora,N�O IDENTIFICADA,9 mm
Submetralhadora,N�O IDENTIFICADA,9x19mm
Revolver,SMITH & WESSON,.38
Revolver,TAURUS ARMAS S.A.,.22 MAGNUM
Pistola,92,9 mm
Pistola,GLOCK GMBH (�USTRIA),.40
Pistola,GLOCK GMBH (�USTRIA),40
Pistola,GLOCK GMBH (�USTRIA),"9,1mm"
Pistola,JERICHO,9 mm
Pistola,NORINCO NZ,9x19mm
Pistola,SMITH & WESSON,.380 ACP
Pistola,SMITH & WESSON,.380
Pistola,ALFA-PROJ (SPOL S.R.O.),.380
Pistola,COLT,.38
Fuzil,AR-15 N�O IDENTIFICADO,5.56mm
Pistola,B.D.A.,9 mm
Pistola,BERSA,9 mm
Pistola,BROWNING,9 mm
Pistola,CANIK ARMS,9 mm
Pistola,CARACAL INTERNATIONAL,9x19mm
Pistola,COLT,9 mm
Pistola,COMPACT,9 mm
Pistola,FN HERSTAL (FABRIQUE NATIONALE D ARMES DE GUERRE HERSTAL),5.7�28mm
Pistola,FN Herstal,5.7�28mm
Pistola,FN Herstal,Outros Calibres
Pistola,GLOCK GMBH (�USTRIA),10mm Auto
Pistola,HK MP-5,9 mm
Pistola,SARSILMAZ,9x19mm
Pistola,SIG SAUER (SIGARMS USA),9x19mm
Pistola,TOKAREV,9 mm
Pistola,WALTHER ARMS,7�64mm
Submetralhadora,Br�gger & Thomet,9 mm
Submetralhadora,"HK (HECKLER & KOCH, H&K)",9 mm
Pistola,"TANFOGLIO (TANFOGLIO, FRATELLI/GIUSEPPE)",.380
Pistola,TAURUS ARMAS S.A.,.22 LR
Pistola,"HK (HECKLER & KOCH, H&K)",9 SHORT/.380
Pistola,"HK (HECKLER & KOCH, H&K)",9x19mm
Pistola,IWI,9 mm
Pistola,N�O IDENTIFICADA,9 mm
Pistola,BUL G-CHEROKEE,9x19mm
Pistola,Heckler & Koch,9 mm
Pistola,TAURUS ARMAS S.A.,380AUTO
Revolver,TAURUS ARMAS S.A.,.22 LR
Fuzil,COLT,"5,56x45mm"
Pistola,BUL G-CHEROKEE,9 mm
Pistola,CZ (CESKOSLOVENSKA ZBROJOVKA),9 mm
